epoch,train_total_loss,train_recon_loss,train_kl_loss,train_heatmap_loss,train_occupancy_loss,train_impedance_loss,val_total_loss,val_recon_loss,val_kl_loss,val_heatmap_loss,val_occupancy_loss,val_impedance_loss,val_expert_kl_loss,val_sigma_floor_loss,val_physics_ri_loss,val_physics_critic_sup_loss,val_physics_ar_loss
1,20.34977149963379,18.53632926940918,0.4808585047721863,2.2395942211151123,0.66323322057724,0.9878324866294861,11.783992621239195,11.771875231316749,0.5094260946233222,1.2345655253592958,0.6255772226668419,0.4091862720377902,0.15035422101933904,nan,0.0,0.0,0.0
25,11.999369621276855,10.221210479736328,0.8342059254646301,0.5805667638778687,0.5990710258483887,0.7217276096343994,7.82642253307586,7.715441557701598,0.8756149538019871,0.08263101964554888,0.595435596083073,0.6014098112887525,0.3848502884519861,nan,0.0,0.0,0.0
50,11.032081604003906,9.244925498962402,0.9527122378349304,0.523002564907074,0.572178304195404,0.5876864194869995,7.082901516366512,6.886453314030424,1.007644465121817,0.052058561431600696,0.5614970826088114,0.4886329157555357,0.5119702023394564,nan,0.0,0.0,0.0
75,10.891399383544922,9.0354585647583,1.115822196006775,0.5661541223526001,0.5384467244148254,0.5582439303398132,6.612475587966594,6.33396549427763,1.1515150110772316,0.043140139272238344,0.5245298582188627,0.4365090945933727,0.6544703331399471,nan,0.0,0.0,0.0
100,10.075920104980469,8.302624702453613,1.24131178855896,0.49791568517684937,0.5049678683280945,0.5098764300346375,6.180168395346784,5.846036438231772,1.2676516122006356,0.030311840194019866,0.4918567786825464,0.3950964349381467,0.7680126717750062,nan,0.0,0.0,0.0
125,9.799975395202637,7.988857746124268,1.3172521591186523,0.4983736276626587,0.48137515783309937,0.47861191630363464,5.8391477544256984,5.4742481647653785,1.345359240694249,0.026199506175644854,0.4640713189510589,0.3633282833911003,0.8465808827826318,nan,0.0,0.0,0.0
150,9.346647262573242,7.4894304275512695,1.4264591932296753,0.4419289231300354,0.4588485062122345,0.4570261538028717,5.5577326876051885,5.144538151964229,1.4493732421956165,0.026278169944565347,0.43526457472050445,0.3375869813117575,0.9350575396355162,nan,0.0,0.0,0.0
175,9.029123306274414,7.115230560302734,1.475248098373413,0.40909668803215027,0.4384663701057434,0.4363469183444977,5.3134585928409654,4.875864566640651,1.5019446986786862,0.02563279780777211,0.41150984466075896,0.31737305800965493,0.9940695876770831,nan,0.0,0.0,0.0
200,8.615185737609863,6.811202049255371,1.565359354019165,0.39307719469070435,0.41829022765159607,0.4169164001941681,5.119463412305142,4.641311654638737,1.5858195791853236,0.026998121893786368,0.3887982877645087,0.30232493192591564,1.0730775929511862,nan,0.0,0.0,0.0
225,8.319869041442871,6.501204013824463,1.6120792627334595,0.374069482088089,0.39574411511421204,0.40309858322143555,4.837239212685443,4.3367404978326025,1.6206465300093307,0.017575900577642817,0.3625197138558043,0.2884757381804446,1.116076898574829,nan,0.0,0.0,0.0
250,8.083009719848633,6.19165563583374,1.6335735321044922,0.3639213740825653,0.3692071735858917,0.3885296881198883,4.5838783649688075,4.061829169253086,1.6525163878785802,0.022487074430001544,0.3350119193183615,0.27208459060242834,1.1725364111839456,nan,0.0,0.0,0.0
275,7.72538948059082,5.943376064300537,1.6536972522735596,0.348606675863266,0.3528391122817993,0.37393200397491455,4.4009707379848395,3.8680629507024236,1.6720762217298466,0.01726560436109913,0.316374956293309,0.263718651520445,1.211027367571567,nan,0.0,0.0,0.0
300,7.724606037139893,5.877415180206299,1.6703416109085083,0.37158218026161194,0.33816656470298767,0.36295098066329956,4.308926699009348,3.756303806507841,1.6951392346240104,0.03985858863972603,0.3005942478458932,0.24813155569928758,1.257150786481005,nan,0.0,0.0,0.0
325,7.371623992919922,5.551077365875244,1.693039894104004,0.33331266045570374,0.3226463496685028,0.3517610430717468,4.017108804621595,3.4542320870338603,1.7073827586275465,0.01279798224568367,0.2793377255505704,0.23948747147905067,1.3006244096350164,nan,0.0,0.0,0.0
350,7.114591121673584,5.290379524230957,1.7379103899002075,0.3172220289707184,0.30365505814552307,0.34208905696868896,3.846463988689666,3.264419824519056,1.7548901283994633,0.014279406779307,0.2580738192226024,0.23697095589434847,1.3616348702856835,nan,0.0,0.0,0.0
375,6.995715141296387,5.0783209800720215,1.7636122703552246,0.30821341276168823,0.2852616310119629,0.3373716175556183,3.6099765767442418,3.017802499202972,1.774725586302737,0.012382172262097927,0.23595609113256982,0.225573154015744,1.40986907735784,nan,0.0,0.0,0.0
400,6.786229610443115,4.862003326416016,1.8179782629013062,0.3011474311351776,0.26715531945228577,0.32978537678718567,3.4758330669808895,2.8542497401541853,1.8313959958705497,0.014346680893225872,0.21940987389138406,0.22042772414836478,1.4984919953853526,nan,0.0,0.0,0.0
425,6.7179646492004395,4.779989719390869,1.859584927558899,0.3122667670249939,0.2558961510658264,0.3219747245311737,3.3079107690364755,2.6611845402007406,1.885664317962971,0.011223096804732971,0.20316636640023678,0.20875336794143026,1.575726584170727,nan,0.0,0.0,0.0
450,6.5354437828063965,4.57692289352417,1.8837480545043945,0.2912314832210541,0.24531076848506927,0.3157844841480255,3.21854224763018,2.5735470137697587,1.8981548065834857,0.011476289231250894,0.19239508179908102,0.20891652348193718,1.6304458592800384,nan,0.0,0.0,0.0
475,6.235642433166504,4.412924289703369,1.8952126502990723,0.28504079580307007,0.23291070759296417,0.3073360025882721,3.112891322501162,2.4619210405552643,1.9105461003932547,0.0121632682952158,0.18309249843054629,0.2002280649352581,1.6836558412998281,nan,0.0,0.0,0.0
500,6.226377487182617,4.28719425201416,1.921606183052063,0.2777596116065979,0.22407451272010803,0.30186113715171814,3.016063399010516,2.3436830490193468,1.9430247504660423,0.009453918992918222,0.1716982363861926,0.19807147459780916,1.737518227354009,nan,0.0,0.0,0.0
525,6.26400089263916,4.215863227844238,1.9569532871246338,0.2803007960319519,0.21692293882369995,0.29722872376441956,2.9978027851023574,2.3111377619682476,1.9740498613803945,0.025648778875140433,0.16383347359902048,0.1918595848565406,1.7895255377952088,nan,0.0,0.0,0.0
