epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0659,0.9090,-0.0229,0.9929,-0.0394,0.9624,-0.0012,0.2911,0.4254,-0.9184,0.7836,0.5094,11.7719,11.7840
25,0.048000,0.0142,0.9057,0.0253,0.8544,-0.0770,0.6724,-0.0254,0.4602,0.5600,-1.0332,1.5667,0.8756,7.7154,7.8264
50,0.098000,-0.0167,0.9445,0.0387,0.8455,-0.0784,0.6522,-0.0213,0.4547,0.6950,-1.2081,1.2254,1.0076,6.8865,7.0829
75,0.110000,0.0032,0.8521,0.0684,0.7572,-0.0766,0.6242,-0.0013,0.4337,0.7651,-1.6539,1.1454,1.1515,6.3340,6.6125
100,0.110000,-0.0493,0.8217,0.0698,0.7129,-0.0819,0.5931,-0.0207,0.4553,0.8132,-1.5193,1.0132,1.2677,5.8460,6.1802
125,0.110000,-0.1122,0.8035,0.0151,0.6919,-0.1174,0.5817,-0.0620,0.5002,0.8363,-1.9274,1.1984,1.3454,5.4742,5.8391
150,0.110000,-0.1375,0.7658,-0.0382,0.6721,-0.1580,0.5701,-0.0968,0.5571,0.8622,-2.2672,1.3240,1.4494,5.1445,5.5577
175,0.110000,-0.1573,0.7333,-0.0633,0.6636,-0.1675,0.5688,-0.1169,0.5870,0.8751,-2.2046,1.5673,1.5019,4.8759,5.3135
200,0.110000,-0.1316,0.7080,-0.0761,0.6499,-0.1498,0.5466,-0.1104,0.6279,0.8992,-1.9958,1.8142,1.5858,4.6413,5.1195
225,0.110000,-0.1112,0.6842,-0.0724,0.6244,-0.1296,0.5355,-0.0900,0.6422,0.8964,-2.2897,1.9175,1.6206,4.3367,4.8372
250,0.110000,-0.0771,0.6680,-0.0457,0.6035,-0.1212,0.5300,-0.0633,0.6176,0.9183,-1.9965,2.2789,1.6525,4.0618,4.5839
275,0.110000,-0.0310,0.6720,-0.0286,0.5921,-0.1069,0.5289,-0.0244,0.5928,0.9401,-1.7243,2.3440,1.6721,3.8681,4.4010
300,0.110000,0.0085,0.6610,-0.0156,0.5830,-0.1020,0.5396,0.0153,0.5899,0.9560,-1.3888,2.5481,1.6951,3.7563,4.3089
325,0.110000,0.0271,0.6587,-0.0057,0.5751,-0.0803,0.5397,0.0365,0.5669,0.9720,-1.1335,2.5515,1.7074,3.4542,4.0171
350,0.110000,0.0337,0.6496,-0.0080,0.5655,-0.0625,0.5388,0.0494,0.5758,0.9971,-1.0701,2.7775,1.7549,3.2644,3.8465
375,0.110000,0.0429,0.6448,-0.0165,0.5553,-0.0509,0.5483,0.0524,0.5706,1.0119,-1.0919,2.7401,1.7747,3.0178,3.6100
400,0.110000,0.0489,0.6340,-0.0183,0.5521,-0.0403,0.5424,0.0589,0.5866,1.0415,-1.2873,2.8565,1.8314,2.8542,3.4758
425,0.110000,0.0262,0.6165,-0.0276,0.5449,-0.0371,0.5369,0.0470,0.5991,1.0706,-1.3608,2.9390,1.8857,2.6612,3.3079
450,0.110000,0.0178,0.6243,-0.0286,0.5428,-0.0415,0.5373,0.0388,0.5907,1.0823,-1.3065,2.8873,1.8982,2.5735,3.2185
475,0.110000,0.0123,0.6248,-0.0372,0.5386,-0.0668,0.5476,0.0238,0.5929,1.0912,-1.3163,2.7999,1.9105,2.4619,3.1129
500,0.110000,0.0055,0.6167,-0.0472,0.5391,-0.0409,0.5515,0.0194,0.6268,1.0972,-1.5247,3.0288,1.9430,2.3437,3.0161
